TMDB_ID,季数,集数,名称,简介,剧照路径,播出日期,评分
95479,1,1,两面宿傩,虎杖悠仁是一位体育万能的高中生，某天他为了从“咒物”危机中解救学姐，而吞下了被诅咒的手指“两面宿傩之指”，让“宿傩”这种诅咒跟自己合而为一。,,2020-10-03,
95479,1,2,为了自己,虎杖醒后，面前的咒术高专老师五条悟告诉自己“秘密执行死刑”已经决定了，但五条告诉虎杖有两个选择，要么现在就死，要么把20根“两面宿傩的手指”全部找齐后再死,,2020-10-10,
95479,1,3,铁娘子,"虎杖、伏黑和五条在接完第3名高中一年级学生钉崎野蔷薇后，来到了一栋废弃大楼。五条告诉虎杖和钉崎前去进入废弃建筑里面把诅咒拔除掉即可完成课题。

建筑内部，钉崎在与虎杖兵分两路后，与将小孩当成人质的狡猾咒灵对峙了起来。",,2020-10-17,
95479,1,4,咒胎戴天,由于少年院发生了紧急事故，虎杖、伏黑、钉崎被派去前往该处。任务是在解决掉等级已经达到特级咒灵的咒胎的同时寻找并救出仍然活着的生还者。,,2020-10-24,
95479,1,5,咒胎戴天 二,宿傩解决了特级咒物，但虎杖却没有醒，没有拿回这具身体的控制权。宿傩攻击了等在外面的伏黑，两人打得难舍难分。但是面对强大的宿傩，伏黑没有丝毫的还手之力，很快落败了，但是伏黑始终相信虎杖一定会回来的。,,2020-10-31,
95479,1,6,雨后,"五条因为虎杖的死而感到不甘。因为同伴的死而感到心情沉重的伏黑和钉崎为了变得更强而和高二的前辈们开始了特训。

另一方面，夏油他们也开始了行动。

这时应该已经死了的虎杖却...。",,2020-11-07,
95479,1,7,急袭,五条悟在前往学校的路上遇见了前来伏击他的漏瑚.五条悟将虎杖悠仁也带了过来，让他做参观学习一下咒术战的顶点“领域展开”。,,2020-11-14,
95479,1,8,无聊,五条悟来见了一个神秘老人，原来这就是乐园寺校长，五条悟对他也加入了针对虎杖事件而十分不满。五条悟向乐园寺汇报了昨晚遇见漏瑚等人的事，五条悟觉得这一切的出现都不是巧合，之前那些迂腐的人千方百计想要压制的力量，即将如巨浪般袭来了。,,2020-11-21,
95479,1,9,幼鱼与逆罚,从高中逃学到电影院的吉野顺平亲眼目击到了同年级学生身体变形而死亡的惨状，为了抓住“犯人”，吉野顺着声音的方向跟了过去。然后，来到变成案发现场的电影院的虎杖与1级咒术师七海建人遇上了2只咒灵。,,2020-11-28,
95479,1,10,无为转变,虎杖和伊地知对吉野进行着调查作战，随后靠低级咒灵袭击吉野时候的反应来确认是否有问题的作战失败了。另一方面，七海正在与真人在地下水道互相交锋。,,2020-12-05,
95479,1,11,守旧愚蠢,在真人追上并打算劝降七海的时候，七海解除了咒力限制并使用十划咒法“瓦落瓦落”将地下水道的墙壁破坏掉，使其碎片如雨般降下。另一方面，吉野与虎杖见面后，发现两人在电影方面非常聊得来。,,2020-12-12,
95479,1,12,致曾几何时的你,真人利用了吉野，并教会他如何使用式神，然后吉野便和虎杖对战了起来。面对着为了复仇而暴走的吉野，虎杖在一拳一拳地档下进攻的同时伺机询问他到底发生了什么。从吉野的口中虎杖听到了残酷的事实，就在此时在两人的面前真人出现了,,2020-12-19,
95479,1,13,明天见,千钧一发之际七海及时赶到挡下了真人的攻击，拯救了虎杖。为了彻底消灭掉真人，七海和虎杖商定由七海先上前进攻，虎杖则伺机发动进攻。而真人还打算用改造人来打击他们的心灵时，虎杖趁机发动了攻击。在遭受到两人穷追猛打的联合进攻下，真人感受到了“死亡”的气息,,2020-12-26,
95479,1,14,京都姐妹校交流会—团体战〇—,京都咒术高专的学生抵达了东京。五条和虎杖为此准备了一个特大惊喜：于两校学生会面时揭示虎杖仍然存活的事实。,,2021-01-16,
95479,1,15,京都姐妹校交流会—团体战①—,京都校的所有学生要除掉虎杖这个目标，但东堂坚持要和虎杖单挑。对战中东堂惊讶于虎杖的强悍并因此对他产生好感。另一方面，东京校的其他人发现了京都校的意图。,,2021-01-23,
95479,1,16,京都姐妹校交流会—团体战②—,虎杖继续与东堂对战，而东堂借此传授要点。在另一面，机械丸和熊猫遇上了。他们两人都有一个共同点，也各隐藏着重大秘密。,,2021-01-30,
95479,1,17,京都姐妹校交流会—团体战③—,当三轮在真希的攻击下举步维艰之时，西宫则一边在空中穿梭一边对追赶她的钉崎述说着真依的难处。,,2021-02-06,
95479,1,18,贤者,伏黑躲避着加茂的箭矢轰炸，但他发现对手的近身攻击同样可怕。此时，狗卷感知到一个极具威胁性的存在。,,2021-02-13,
95479,1,19,黑闪,狗卷，伏黑和加茂挣扎着与特级咒灵花御对抗，真希适时地赶到提供急需的支援。,,2021-02-20,
