TMDB_ID,名称,原名,状态,简介,海报路径,背景路径,类型,评分,备注
278577,骄阳似我,,已完结,,,,,,
259886,陆海之战,,已完结,,,,,,
67063,一人之下,,连载中,,,,,,
106379,辐射,,连载中,,,,,,
301507,巅峰对决,,已完结,,,,,,
257789,轻年,,连载中,,,,,,
157741,石油天王,,连载中,,,,,,
218642,师兄啊师兄,,连载中,,,,,,
250307,匹兹堡医护前线,,连载中,,,,,,
95479,咒术回战,,连载中,,,,,,
285743,和青梅竹马之间不会有恋爱喜剧,,连载中,,,,,,
259537,剑来,,连载中,,,,,,
119769,模范出租车,,已完结,,,,,,
305899,九阳武神,,连载中,,,,,,
305227,丰臣兄弟！,,已完结,,,,,,
279136,轧戏,,连载中,,,,,,
279593,小城大事,,连载中,,,,,,
285788,东岛丹三郎想成为假面骑士,,连载中,,,,,,
303799,Vi kommer i fred,,已完结,,,,,,
223911,仙逆,,连载中,,,,,,
236534,牧神记,,连载中,,,,,,
284512,玉茗茶骨,,连载中,,,,,,
296851,希维司：英雄之声,,连载中,,,,,,
220850,,,,,,,,,
295434,,,,,,,,,
